ID объекта;Район;Тип планировки;Количество комнат;Первый/Последний этаж;Общая площадь (м2);Жилая площадь (м2);Площадь кухни (м2);Наличие агенства;Состояние;Стоимость (т.руб.)
2;Правобережный;Нестандартная;1;ЛОЖЬ;36;17;7;ЛОЖЬ;4;1350
4;Ленинский;сталинка;1;ИСТИНА;30;19;6;ЛОЖЬ;3;750
9;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;21;11;ЛОЖЬ;4;1420
10;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;980
11;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
24;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;18;8;ИСТИНА;5;1200
26;Правобережный;хрущевка;1;ИСТИНА;30;19;6;ЛОЖЬ;3;1000
30;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;20;12;ИСТИНА;4;1350
41;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;3;1000
45;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;3;1000
47;Правобережный;хрущевка;1;ИСТИНА;32;17;6;ИСТИНА;3;920
51;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ЛОЖЬ;3;1000
55;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;980
57;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;4;930
61;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;930
62;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;19;10;ЛОЖЬ;5;1300
67;Правобережный;хрущевка;1;ИСТИНА;34;19;6;ЛОЖЬ;3;1100
68;Правобережный;брежневка;1;ЛОЖЬ;32;21;6;ЛОЖЬ;4;1020
69;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1050
70;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;17;9;ЛОЖЬ;4;1070
71;Ленинский;сталинка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;3;970
76;Ленинский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;920
82;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;9;ИСТИНА;4;1170
86;Правобережный;брежневка;1;ИСТИНА;33;18;6;ИСТИНА;4;1500
87;Правобережный;сталинка;1;ИСТИНА;30;17;6;ИСТИНА;3;900
88;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ЛОЖЬ;3;880
90;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;3;1000
94;Ленинский;хрущевка;1;ЛОЖЬ;31;18;6;ИСТИНА;4;1020
96;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;8;ИСТИНА;3;1100
101;Правобережный;брежневка;1;ЛОЖЬ;31;16;6;ЛОЖЬ;4;1080
102;Ленинский;сталинка;1;ИСТИНА;31;17;8;ИСТИНА;4;1040
110;Ленинский;Нестандартная;1;ИСТИНА;46;20;10;ИСТИНА;5;1350
111;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ЛОЖЬ;3;920
114;Ленинский;брежневка;1;ИСТИНА;31;19;7;ЛОЖЬ;4;890
119;Правобережный;Нестандартная;1;ЛОЖЬ;36;17;7;ЛОЖЬ;4;1350
121;Правобережный;сталинка;1;ЛОЖЬ;22;12;6;ИСТИНА;3;840
124;Правобережный;хрущевка;1;ЛОЖЬ;30;19;6;ЛОЖЬ;5;1100
129;Ленинский;хрущевка;1;ИСТИНА;31;18;6;ЛОЖЬ;3;970
131;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;4;1230
133;Орджоникидзевский;Нестандартная;1;ИСТИНА;42;19;10;ЛОЖЬ;3;1330
134;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;4;1230
135;Ленинский;сталинка;1;ИСТИНА;34;18;9;ИСТИНА;4;860
136;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1070
137;Ленинский;сталинка;1;ЛОЖЬ;32;19;5;ЛОЖЬ;5;1250
140;Ленинский;сталинка;1;ИСТИНА;31;17;6;ИСТИНА;3;950
144;Правобережный;Нестандартная;1;ЛОЖЬ;37;18;9;ЛОЖЬ;4;1020
151;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;880
153;Орджоникидзевский;сталинка;1;ИСТИНА;42;16;8;ЛОЖЬ;4;950
159;Орджоникидзевский;Улучшенная;1;ИСТИНА;33;17;9;ЛОЖЬ;3;1300
